# Elements,QuickSort,IterativeMergeSort,MergeSort,ShellSort,InsertionSort,BubbleSort
100,0.004,0.003,0.008,0.003,0.002,0.012,
200,0.007,0.007,0.015,0.007,0.005,0.039,
300,0.011,0.011,0.032,0.01,0.009,0.076,
400,0.014,0.014,0.027,0.014,0.013,0.121,
500,0.018,0.018,0.037,0.018,0.02,0.194,
600,0.021,0.022,0.042,0.021,0.026,0.264,
700,0.024,0.025,0.05,0.026,0.034,0.346,
800,0.027,0.028,0.054,0.035,0.044,0.489,
900,0.029,0.032,0.066,0.04,0.061,0.585,
1000,0.033,0.035,0.067,0.039,0.063,0.701,
2000,0.061,0.074,0.137,0.081,0.236,2.909,
3000,0.09,0.116,0.201,0.121,0.525,6.476,
4000,0.119,0.144,0.266,0.177,1.013,10.865,
5000,0.146,0.181,0.335,0.214,1.462,17.109,
6000,0.173,0.22,0.401,0.264,2.057,24.873,
7000,0.198,0.269,0.507,0.323,2.811,33.476,
8000,0.224,0.295,0.521,0.372,3.655,42.369,
9000,0.252,0.333,0.649,0.411,4.619,55.006,
10000,0.848,0.4,0.696,0.477,5.611,72.341,
20000,0.679,0.791,1.482,0.989,23.335,418.96,
30000,0.832,1.124,2.071,1.477,52.724,1057.98,
40000,1.108,1.527,2.824,2.065,94.351,1903.82,
50000,1.319,1.796,3.377,2.501,147.33,3070.84,
60000,1.708,2.189,4.247,2.891,209.928,4512.38,
70000,1.949,2.646,4.71,3.38,280.535,6194.93,
80000,2.108,2.973,5.557,4.446,369.191,8017.92,
90000,2.486,3.49,6.118,4.388,471.412,10517.6,
100000,2.816,3.739,6.561,5.017,571.446,12859.8,
200000,5.579,8.032,14.253,10.698,2360.28,52337.9,
300000,8.36,12.354,20.973,15.783,5250.62,120634,
400000,11.032,16.1,28.009,22.381,9297.11,214188,
500000,13.163,20.181,38.429,28.332,14779.8,335520,
600000,16.334,25.448,44.66,32.331,20385.1,484075,
700000,18.988,29.118,57.336,37.825,29188.8,669197,
800000,22.294,35.854,66.483,47.633,39284.8,881467,
900000,24.213,37.388,70.02,48.313,48091.2,1.09713e+06,
1000000,27.362,41.251,73.916,57.898,57182.1,1.33326e+06,
