,QuickSort,IterativeMergeSort,MergeSort,ShellSort,InsertionSort,BubbleSort
100,0.01,0.01,0.033,0.011,0.016,0.064,
200,0.021,0.02,0.07,0.024,0.06,0.237,
300,0.031,0.032,0.201,0.039,0.126,0.509,
400,0.044,0.044,0.142,0.056,0.214,0.892,
500,0.054,0.056,0.186,0.068,0.353,1.44,
600,0.063,0.07,0.219,0.084,0.493,1.968,
700,0.075,0.084,0.261,0.105,0.664,2.742,
800,0.086,0.093,0.3,0.133,0.937,3.524,
900,0.096,0.104,0.341,0.151,1.076,4.532,
1000,0.108,0.118,0.374,0.151,1.294,6.613,
2000,0.225,0.245,0.78,0.337,5.147,22.886,
3000,0.358,0.403,1.237,0.531,12.31,50.21,
4000,0.501,0.507,1.582,0.716,21.019,92.585,
5000,0.576,0.656,2.387,1.075,34.315,147.205,
6000,0.686,0.93,2.552,1.22,49.476,221.555,
7000,0.905,0.953,2.982,1.367,65.743,303.974,
8000,1.365,1.055,3.432,1.807,85.523,397.256,
9000,1.087,1.268,3.905,2.366,114.13,512.102,
10000,1.3,1.473,4.18,2.135,135.055,613.187,
20000,2.735,2.828,8.722,4.531,550.561,2535.97,
30000,3.832,4.315,13.959,6.456,1228.49,5806.37,
40000,5.161,5.95,18.579,12.114,2239.9,10366.2,
50000,6.196,7.523,23.711,10.838,3414.61,15860.8,
60000,7.816,8.975,27.452,13.238,4732.25,22912.6,
70000,9.705,11.375,34.302,16.34,6513.69,32038.3,
80000,10.921,12.511,38.046,21.01,8579.93,41470.2,
90000,12.054,13.905,42.513,25.261,11136.8,52267.8,
100000,14.045,15.884,49.031,24.089,13571.1,65155.7,
200000,28.881,33.507,101.839,52.22,54707.6,260586,
300000,44.085,52.626,155.454,77.783,122046,592981,
400000,61.628,74.021,215.996,114.397,222526,1.03622e+06,
500000,76.445,86.715,265.007,136.962,333983,1.58141e+06,
600000,91.033,110.033,306.121,153.244,470121,-2.04641e+06,
